Date,Open,High,Low,Close,Adj Close,Volume
2016-01-13,126.356415,127.094681,124.084854,131.169998,124.151093,4700100
2016-01-14,124.870430,126.630882,124.198425,132.910004,125.798004,5709600
2016-01-15,123.053154,123.876625,121.974159,130.029999,123.072090,8895400
2016-01-19,123.147820,125.031334,121.207512,128.110001,121.254837,9979600
2016-01-20,112.121208,117.355286,111.685814,121.860001,115.339272,16157800
2016-01-21,114.809235,118.405899,114.127769,122.910004,116.333099,8851600
2016-01-22,117.998909,118.065155,115.254097,122.500000,115.945023,9238400
2016-01-25,115.566429,117.582451,115.131050,122.080002,115.547508,5446000
2016-01-26,115.708405,116.995636,115.698944,122.589996,116.030212,4617800
2016-01-27,116.162720,116.768471,114.194023,120.959999,114.487419,5026400
2016-01-28,114.771378,116.257370,114.534760,122.220001,115.680008,3942500
2016-01-29,116.683289,118.112488,116.380409,124.790001,118.112488,8248100
2016-02-01,117.743355,118.585739,117.090271,124.830002,118.150352,3574900
2016-02-02,117.052414,117.497269,116.077538,122.940002,116.361488,3287300
2016-02-03,117.355286,118.737175,115.746262,124.720001,118.046234,6223500
2016-02-04,118.386971,121.623962,118.311256,127.650002,120.819450,5266500
2016-02-05,120.412468,121.756477,119.115768,128.570007,121.690247,7177700
2016-02-08,120.475891,121.919701,118.687881,126.980003,121.412941,7364000
2016-02-09,120.590637,121.365135,118.343666,124.070000,118.630516,5957200
2016-02-10,119.519737,119.797035,114.585960,120.190002,114.920631,6469100
2016-02-11,113.572441,114.413857,111.774857,117.849998,112.683212,7307600
2016-02-12,114.031403,115.742928,113.161285,121.040001,115.733368,4936500
2016-02-16,116.488724,117.693466,116.020195,122.739998,117.358818,4061400
2016-02-17,118.286301,121.020920,117.846458,126.099998,120.571510,4821000
2016-02-18,124.300537,128.125168,124.061485,132.449997,126.643105,9951600
2016-02-19,126.557045,127.790489,125.103691,133.080002,127.245506,5125300
2016-02-22,127.245506,128.421555,126.604858,133.770004,127.905258,4457400
2016-02-23,127.302864,127.561035,126.222412,132.399994,126.595291,3439700
2016-02-24,125.782578,127.637535,123.994553,132.800003,126.977791,4122600
2016-02-25,127.446266,128.612793,125.141945,134.500000,128.603241,4358300
2016-02-26,128.612793,129.004822,126.165039,132.029999,126.241531,4386200
2016-02-29,126.212852,127.513214,125.161064,131.029999,125.285355,4428000
2016-03-01,126.442345,128.737091,126.241531,134.369995,128.478928,3788500
2016-03-02,127.838295,131.414337,127.379356,136.300003,130.324326,5217200
2016-03-03,131.203995,131.911545,130.104416,137.800003,131.758575,5156400
2016-03-04,131.509949,133.307541,131.012741,137.800003,131.758575,3968400
2016-03-07,131.261353,134.349747,130.869324,140.149994,134.005524,5171000
2016-03-08,133.584824,134.196762,131.395233,139.070007,132.972900,5579100
2016-03-09,133.202362,135.936981,133.125885,140.410004,134.254135,4406500
2016-03-10,135.047760,135.267670,132.035843,140.190002,134.043777,4020600
2016-03-11,135.516251,136.654083,134.349747,142.360001,136.118652,4421900
2016-03-14,135.783981,136.912247,134.856506,142.779999,136.520218,4048800
2016-03-15,135.525833,137.046112,135.334595,142.960007,136.692337,3707500
2016-03-16,136.367233,138.528183,135.879608,144.789993,138.442108,4221900
2016-03-17,138.432541,140.861176,138.117004,147.039993,140.593460,5821600
2016-03-18,140.937668,141.042847,139.130539,147.089996,140.641251,12089700
2016-03-21,140.842087,142.190262,140.287491,148.630005,142.113754,3721600
2016-03-22,141.568741,142.735245,141.358383,148.100006,141.607010,4081900
2016-03-23,141.511383,141.540070,138.767212,145.399994,139.025375,4764200
2016-03-24,138.623779,141.721710,138.155258,147.949997,141.463562,5044500
2016-03-28,141.272339,142.132858,140.775131,148.399994,141.893829,3265100
2016-03-29,141.119339,143.194199,141.033295,149.330002,142.783051,3138500
2016-03-30,143.375870,143.815720,141.817352,148.410004,141.903397,3331200
2016-03-31,143.222885,146.387787,142.811752,151.449997,144.810104,6780600
2016-04-01,143.911316,146.253922,143.662735,152.520004,145.833191,3925500
2016-04-04,145.661087,146.789383,145.249954,152.070007,145.402954,3931200
2016-04-05,144.790985,144.953552,143.089020,150.000000,143.423676,3337000
2016-04-06,143.328064,143.567123,141.329681,150.020004,143.442825,4194600
2016-04-07,142.534470,143.041229,141.511383,148.250000,141.750427,3663000
2016-04-08,142.524887,143.414139,141.626114,149.350006,142.802185,3293800
2016-04-11,143.672287,145.288193,142.677872,149.250000,142.706558,3846100
2016-04-12,143.050797,143.528870,142.065948,149.630005,143.069901,3595800
2016-04-13,144.140808,144.599762,143.069901,151.229996,144.599762,3168400
2016-04-14,144.857941,146.062683,143.787033,151.160004,144.532837,3176500
2016-04-15,144.418091,145.431625,144.341599,151.720001,145.068283,3657600
2016-04-18,145.068283,146.426041,144.848373,152.529999,145.842773,5737700
2016-04-19,140.048462,140.507401,136.357697,144.000000,137.686752,13190200
2016-04-20,137.916229,140.746429,137.686752,146.110001,139.704224,6754300
2016-04-21,140.153625,143.538406,140.038895,149.300003,142.754364,6017700
2016-04-22,142.888229,144.379852,141.033295,148.500000,141.989456,5191900
2016-04-25,141.664368,142.371918,140.660385,148.809998,142.285858,2848900
2016-04-26,142.132858,143.222885,141.415741,149.080002,142.544037,2979800
2016-04-27,142.802185,144.169479,142.438843,150.470001,143.873077,3111200
2016-04-28,143.184647,143.595795,140.297043,147.070007,140.622147,3791500
2016-04-29,140.067566,140.880295,137.868408,145.940002,139.541672,4225800
2016-05-02,140.134506,140.555206,138.097885,145.270004,138.901062,3502400
2016-05-03,138.308243,138.547287,136.634949,144.130005,137.811050,3553500
2016-05-04,137.074783,138.642914,137.026978,144.250000,137.925781,2577100
